"\alpha","\rho_p/\rho_t","\varphi from trajectories","\varphi numerical integration","\varphi approx."
1.5,168.70237998888913,5.554519914049031e-7,5.246614880327627e-7,5.553990037942876e-7
1.5,189.2871893891298,3.935696539283515e-7,3.659004161882251e-7,3.9319234819865827e-7
1.5,212.3837242304488,2.79084266468026e-7,2.4354948768845475e-7,2.7835884806059374e-7
1.5,238.29846161232118,1.9837147291632685e-7,1.6211832143397942e-7,1.9706296379166835e-7
1.5,267.3752744460931,1.417512917548528e-7,1.1165438484894707e-7,1.3950989011298901e-7
1.5,299.99999444444404,1.0242114240892276e-7,7.413532232547482e-8,9.876543649820583e-8
2.,2.9809428376473965,0.03807967531281537,0.038079606790141884,0.03729980472240526
2.,3.352708792187294,0.023611404806208578,0.02361139127734324,0.023309760411195143
2.,3.7673904939555003,0.014738292557985526,0.01473833603516006,0.014620377895894647
2.,4.230995649513249,0.009237182456391487,0.009237200773311471,0.009190747397907014
2.,4.750007311064523,0.005803900051747941,0.005803896181011403,0.0057855417475638285
2.,5.331535931241602,0.0036523772775708292,0.0036524020433197357,0.0036451196487433694
2.,5.983451503764463,0.002300684848249625,0.0023007129803507276,0.0022978096179278357
2.,6.71451112247672,0.0014501666430585946,0.0014501220165059614,0.0014489838757457628
2.,7.5344900387701035,0.0009143808316088011,0.0009144058704211311,0.0009139147632470715
2.,8.454321237505665,0.0005767019894316039,0.0005766770226975915,0.0005765090958392197
2.,9.486247210792621,0.0003637837075324535,0.0003637666039497667,0.0003637000832531197
2.,10.643987026349262,0.0002294994520698872,0.00022948872118355723,0.0002294583168548234
2.,11.942921585416444,0.00014478817292876871,0.00014479095794550645,0.00014477008043817615
2.,13.400299968845248,0.000091353122478841,0.00009136272626308894,0.00009134043428374689
2.,15.035469904528886,0.00005763094026257439,0.00005761709598228748,0.000057630597571945454
2.,16.870135615541255,0.000036363107534965826,0.00003625915222782439,0.000036361922028507004
2.,18.928646609567824,0.000022944915796169953,0.00002293983944845479,0.000022942613496819726
2.,21.238321338673465,0.000014475774541801748,0.000014449110659064957,0.000014475727761095722
2.,23.829810092170607,9.133900996703863e-6,9.110669592526932e-6,9.133533360643771e-6
2.,26.73750198579599,5.774881849617342e-6,5.680098746463358e-6,5.762856707152548e-6
2.,29.999981481431067,3.6368686853005926e-6,3.6044320292916154e-6,3.636111561038275e-6
2.,33.66054051892953,2.294703754805901e-6,2.2684023610608506e-6,2.2942291344848273e-6
2.,37.767753072570194,1.447951254213052e-6,1.4235245755500614e-6,1.4475599160474688e-6
2.,42.37611976806009,9.137049719881321e-7,8.455908231397302e-7,9.13348238256741e-7
2.,47.54679112219008,5.944690290780748e-7,5.156847491250005e-7,5.762836348000319e-7
2.,53.34837900805692,3.6374175301473324e-7,3.0424474850576644e-7,3.636103393594076e-7
2.,59.857867117722705,2.2933287018094708e-7,1.95360003729661e-7,2.294225936631897e-7
2.,67.16163250658536,1.4471107721714163e-7,9.875692086325216e-8,1.4475586236300008e-7
2.,75.35659177684784,9.130609616302577e-8,4.2950213607895193e-8,9.133477146462279e-8
2.,84.5514871107418,5.761380722292813e-8,1.3384580110908928e-8,5.762834368858648e-8
2.,94.86832921944439,3.632184865848717e-8,-8.011607821600819e-9,3.636102620389975e-8
2.,106.44401635549463,2.2894799144268044e-8,-2.1865517396690848e-8,2.294225648087774e-8
2.,119.43215087255047,1.4444202750318158e-8,-2.382318919913473e-8,1.4475585041132837e-8
2.,134.00507743750777,9.106408269701182e-9,-2.896025108611866e-8,9.133476671748303e-9
2.,150.35616994108395,5.766691377922145e-9,-2.5973727169059657e-8,5.7628341967842975e-9
2.,168.70239745296743,3.663702193176978e-9,-2.493260620184401e-8,3.6361025693601435e-9
2.,189.28720327033446,2.3904484456243726e-9,-2.2019571055409415e-8,2.2942256116953116e-9
2.,212.38373526304912,1.6457668411883626e-9,-2.7437479843683832e-8,1.447558506541499e-9
2.,238.2984703803352,1.2668792737158237e-9,-2.706953683428992e-8,9.133476681517041e-10
2.,267.3752814139657,1.1146225773665633e-9,-2.7276545910837058e-8,5.762834181122526e-10
2.,299.99999998148144,1.0885521930873337e-9,-3.0169907017096875e-8,3.6361025607878284e-10
