"E","\rho_p/\rho_t","\varphi"
0.5,685059.4025322897,2.6316086614139377e-6
0.5,1.0857462954485314e6,1.5705043974413848e-6
0.5,1.7207922243396672e6,9.855099259316634e-7
0.5,2.7272721939392323e6,6.523810471625708e-7
0.6,1.9886103051642035,0.812268047719944
0.6,3.6380294459757954,0.38298219422066054
0.6,6.221344202010309,0.22401831330446179
0.6,10.260929257180472,0.14021737911949234
0.6,16.630073433411045,0.08956783802155535
0.6,26.705857808370105,0.057402878930946956
0.6,42.66411270351333,0.03670206147865829
0.6,67.94980652652785,0.023385199877315032
0.6,108.02101155782672,0.014855236415275131
0.6,171.52717377633283,0.009415280951621868
0.6,272.17615383539834,0.005958323945236501
0.6,431.6930966043972,0.003766685559204523
0.6,684.5098230463922,0.002379520543603656
0.6,1085.1969606587882,0.0015025787476257101
0.6,1720.243043767476,0.0009485300270274907
0.6,2726.723110602166,0.000598725747691631
0.6,4321.886423459267,0.00037785338868424325
0.6,6850.049840979408,0.00023846528178510316
0.6,10856.918794859383,0.00015051127798334894
0.6,17207.37809932633,0.00009501288331147953
0.6,27272.177805234474,0.00005990849109915104
0.6,43223.810333098925,0.0000378053442987271
0.6,68505.4441292462,0.000023834475098036466
0.6,108574.13342342754,0.000014996910203066806
0.6,172078.7263141078,9.488963827416114e-6
0.6,272726.72327504825,5.984452063689632e-6
0.6,432243.0484923367,3.8486359998266674e-6
0.6,685059.3864150326,2.3281010160936802e-6
0.6,1.0857462793312864e6,1.5069050521600073e-6
0.6,1.720792208222431e6,9.899172637965266e-7
0.6,2.727272177822002e6,6.086854598346901e-7
0.7,1.9925102841606177,0.5909931056357717
0.7,3.6181018757861705,0.3002396524916493
0.7,6.196841600748703,0.1809007849533227
0.7,10.237404386201451,0.11493007244554694
0.7,16.60767473672001,0.074324657056263
0.7,26.684221026419724,0.0481445141451917
0.7,42.64295699657928,0.031044561028249755
0.7,67.92895132233755,0.019904237738647742
0.7,108.00034422098362,0.012698912893929715
0.7,171.5066241365255,0.008072022943779261
0.7,272.155678125982,0.005117904175349865
0.7,431.6726673829982,0.0032394076898331777
0.7,684.4894230919601,0.0020481923614446345
0.7,1085.1765791439084,0.0012939974825984903
0.7,1720.2226738816098,0.0008171112039794603
0.7,2726.702746101747,0.0005158692644784085
0.7,4321.866066166646,0.0003255842695965621
0.7,6850.029486989582,0.00020555061567324726
0.7,10856.898441966016,0.0001296564820596348
0.7,17207.3577475243,0.00008184914029082764
0.7,27272.157454039178,0.000051676315190290484
0.7,43223.78998241606,0.00003257584704417549
0.7,68505.42377863814,0.000020562026247680513
0.7,108574.1130730595,0.000012949347220807759
0.7,172078.70596387298,8.167337990449256e-6
0.7,272726.7029248967,5.163463417871573e-6
0.7,432243.0281422347,3.248889253983191e-6
0.7,685059.3660649578,2.0562845443518147e-6
0.7,1.085746258981227e6,1.3000174508427586e-6
