"t","\alpha","\chi","v_F","\rho_t","x","y","z","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
82.13720012468829,"1/2",1,1,1,-52.16518523401103,-26.66472376036677,-0.8395911229069681,-0.752937381498142,-0.43487440994600873,-0.00009147516358718175,-0.0008337241140663486,-0.000481585310144999,3.18300900378901e-6,-0.7069352084479255,-0.4020219313351064,0.,-0.4346347122243619,-0.24716930822747016,0.,-0.33753404476286997,0.5935365254832653,2.1213164664894544,-0.7721687569872319,0.3463672172557951,2.1213164664894544,0.7071068385284784
82.46197830423941,"1/2",1,1,1,-52.40976673386951,-26.805986818964357,-0.8396206651017782,-0.7532072037133345,-0.4350302676707468,-0.0000904499912395452,-0.0008278543550626043,-0.00047819422278738195,3.130052723778235e-6,-0.7066623709615016,-0.40191170283079075,0.,-0.43462283733947804,-0.24719018844400278,0.,-0.3374533712429768,0.5933283299090956,2.1213163915219124,-0.7720762085824548,0.3461381414650928,2.1213163915219124,0.7071068414482985
82.78675648379053,"1/2",1,1,1,-52.65443555677054,-26.947300318044384,-0.839649877129087,-0.7534751289520871,-0.43518502941298165,-0.00008944177259029063,-0.0008221962696819867,-0.00047492442642966913,3.0820486058006586e-6,-0.7063916589165379,-0.40180213345067867,0.,-0.43461109831419625,-0.247210827477536,0.,-0.3373731119820674,0.5931216696142829,2.121316367366154,-0.7719842102962636,0.34591084213674694,2.121316367366154,0.7071068423864236
83.11153466334164,"1/2",1,1,1,-52.89919110771077,-27.088663913787162,-0.8396787640853544,-0.7537413034816758,-0.43533877941736054,-0.00008844789161709583,-0.0008169195721305511,-0.0004718756608874551,3.038319299262856e-6,-0.7061230457532476,-0.40169321718234313,0.,-0.4345994930171549,-0.24723122915447393,0.,-0.33729326414513977,0.592916526350273,2.1213163942104574,-0.7718927571622947,0.3456852971957991,2.1213163942104574,0.7071068411264176
83.43631284289276,"1/2",1,1,1,-53.14403282803485,-27.230077283383256,-0.839707330557071,-0.7540057642550396,-0.43549153924921674,-0.0000874682129684714,-0.0008116428745791154,-0.000468826895345241,2.9945899927250536e-6,-0.7058565072692775,-0.4015849484012918,0.,-0.4345880195614357,-0.24725139686899494,0.,-0.3372138250139478,0.5927128834754228,2.121316437161529,-0.7718018445753836,0.3454614866064279,2.121316437161529,0.7071068390673613
83.7610910224439,"1/2",1,1,1,-53.388960161152184,-27.371540105246247,-0.8397355811568423,-0.7542685112721788,-0.4356433089085502,-0.00008650273664441728,-0.0008063661770276793,-0.0004657781298030267,2.950860686187247e-6,-0.7055920192234697,-0.4014773215360425,0.,-0.4345766760330821,-0.24727133406045598,0.,-0.3371347919213611,0.5925107243222502,2.121316472976977,-0.7717114679544432,0.3452393902617942,2.121316472976977,0.7071068372452293
84.08586920199502,"1/2",1,1,1,-53.63397255047209,-27.513052057789682,-0.8397635204972732,-0.754529544533093,-0.435794088395361,-0.0000855514626449336,-0.0008010894794762437,-0.0004627293642608127,2.907131379649445e-6,-0.7053295573746662,-0.40137033101511305,0.,-0.4345654605110378,-0.24729104417837217,0.,-0.3370561621964072,0.5923100322117331,2.1213164862915255,-0.771621622707445,0.3450189880333609,2.1213164862915255,0.7071068363437369
84.41064738154614,"1/2",1,1,1,-53.879069439403956,-27.65461281942714,-0.8397911531909689,-0.7547888640377823,-0.43594387770964915,-0.00008461439097002032,-0.000795812781924808,-0.00045968059871859864,2.863402073111642e-6,-0.7050690974817093,-0.40126397126702135,0.,-0.4345543710672404,-0.24731053068228842,0.,-0.3369779331643197,0.5921107904534803,2.1213164696272373,-0.77153230423156,0.34480025977119183,2.1213164696272373,0.7071068367010038
84.73542556109726,"1/2",1,1,1,-54.12425027135717,-27.796222068572195,-0.8398184838505344,-0.755046469786247,-0.4360926768514146,-0.00008369152161967742,-0.0007905360843733724,-0.0004566318331763846,2.81967276657384e-6,-0.704810615303441,-0.40115823672028517,0.,-0.43454340576671385,-0.24732979704165256,0.,-0.33690010214658367,0.5919129823458981,2.121316423403605,-0.7714435079132975,0.3445831853042455,2.121316423403605,0.7071068383160635
85.06020374064838,"1/2",1,1,1,-54.3695144897411,-27.937879483638415,-0.8398455170885749,-0.755302361778487,-0.4362404858206574,-0.00008278285459390489,-0.0007852593868219367,-0.00045358306763417053,2.775943460036037e-6,-0.7045540865987033,-0.40105312180342245,0.,-0.43453256266766044,-0.24734884673568971,0.,-0.3368226664609825,0.5917165911763566,2.1213163559475627,-0.771355229128643,0.34436774444066687,2.1213163559475627,0.7071068408552212
