"X1","Y1","Z1"
-84.29327560030559,-32.6056096695205,-0.3587276627091981
-84.18824465490542,-32.57125862831531,-0.3587168526323333
-84.08320764377139,-32.53690560292052,-0.35870600827393445
-83.97816455526444,-32.50255058952715,-0.3586951294732932
-83.87311537774548,-32.46819358432616,-0.3586842160697014
-83.76806009957534,-32.43383458350854,-0.3586732679024509
-83.66299870911499,-32.39947358326531,-0.3586622848108336
-83.55793119472506,-32.36511057978737,-0.3586512666341412
-83.45285754476652,-32.33074556926573,-0.35864021321166556
-83.34777774760022,-32.29637854789137,-0.35862912438269856
-83.24269179158703,-32.262009511855275,-0.35861799998653193
-83.13759966508793,-32.22763845734846,-0.35860683986245756
-83.03250135646353,-32.193265380561826,-0.3585956438497672
-82.92739685407479,-32.15889027768639,-0.35858441178775274
-82.8222861462826,-32.124513144913124,-0.358573143515706
-82.71716922144778,-32.09013397843301,-0.35856183887291876
-82.61204606793133,-32.05575277443707,-0.3585504976986829
-82.50691667409387,-32.0213695291162,-0.35853911983229014
-82.40178102829637,-31.986984238661417,-0.35852770511303245
-82.29663911889968,-31.952596899263703,-0.3585162533802015
-82.19149093426466,-31.918207507114033,-0.35850476447308915
-82.08633646275229,-31.883816058403426,-0.35849323823098733
-81.9811756927264,-31.849422549323844,-0.3584816744934739
-81.87600861227077,-31.815026975975588,-0.35847007309444606
-81.77083520886734,-31.780629334261725,-0.3584584338505699
-81.66565546993365,-31.746229620064234,-0.35844675657635827
-81.56046938288736,-31.711827829265122,-0.358435041086324
-81.45527693514579,-31.677423957746274,-0.35842328719497984
-81.35007811412659,-31.643018001389706,-0.35841149471683864
-81.24487290724733,-31.60860995607738,-0.35839966346641317
-81.13966130192554,-31.574199817691273,-0.35838779325821624
-81.03444328557889,-31.53978758211339,-0.35837588390676073
-80.9292188456247,-31.505373245225623,-0.35836393522655935
-80.82398796948063,-31.47095680290998,-0.358351947032125
-80.71875064456422,-31.436538251048436,-0.3583399191379704
-80.61350685829305,-31.40211758552295,-0.3583278513586084
-80.50825659808474,-31.36769480221554,-0.3583157435085519
-80.40299985135664,-31.33326989700809,-0.35830359540231355
-80.29773660552638,-31.298842865782614,-0.3582914068544062
-80.19246684801155,-31.26441370442108,-0.35827917767934275
-80.08719056622965,-31.22998240880546,-0.35826690769163594
-79.9819077475984,-31.195548974817758,-0.35825459670579857
-79.87661837953506,-31.161113398339864,-0.35824224453634346
-79.77132244945733,-31.126675675253793,-0.35822985099778343
-79.66601994478275,-31.092235801441515,-0.35821741590463124
-79.56071085292885,-31.05779377278499,-0.35820493907139983
-79.4553951613147,-31.023349585166685,-0.35819242031267057
-79.35007285721782,-30.98890323442273,-0.3581798594409705
-79.24474392718507,-30.954454716149836,-0.3581672562474954
-79.13940835758017,-30.920004025884722,-0.3581546105171351
-79.03406613476685,-30.885551159164105,-0.3581419220347796
-78.92871724510897,-30.851096111524733,-0.3581291905853189
-78.82336167497006,-30.816638878503245,-0.3581164159536428
-78.71799941071394,-30.7821794556364,-0.3581035979246414
-78.61263043870437,-30.74771783846091,-0.3580907362832046
-78.50725474530509,-30.713254022513492,-0.35807783081422234
-78.40187231687995,-30.6787880033309,-0.3580648813025846
-78.29648313979246,-30.64431977644977,-0.35805188753318135
-78.19108720040647,-30.60984933740686,-0.35803884929090246
-78.08568448508574,-30.575376681738884,-0.358025766360638
-77.98027498019397,-30.540901804982557,-0.3580126385272778
-77.87485867209506,-30.506424702674632,-0.35799946557571194
-77.7694355471525,-30.47194537035175,-0.3579862472908303
-77.66400559173013,-30.437463803550663,-0.3579729834575228
-77.5585687921917,-30.40297999780809,-0.35795967386067945
-77.45312513490096,-30.368493948660742,-0.35794631828519025
-77.34767460622176,-30.334005651645377,-0.35793291651594505
-77.2422171925176,-30.29951510229863,-0.35791946833783383
-77.13675288015234,-30.26502229615726,-0.35790597353574655
-77.03128165548972,-30.230527228757975,-0.3578924318945732
-76.9258035048935,-30.196029895637498,-0.3578788431992037
-76.82031841467882,-30.161530292316698,-0.3578652072345563
-76.7148263704373,-30.127028414079334,-0.35785152376458407
-76.60932735735324,-30.09252425607561,-0.3578377925386381
-76.503821360609,-30.05801781345506,-0.3578240133059831
-76.39830836538688,-30.023509081367216,-0.3578101858158836
-76.29278835686932,-29.988998054961648,-0.3577963098176043
-76.1872613202384,-29.954484729387815,-0.3577823850604098
-76.08172724067654,-29.91996909979528,-0.35776841129356485
-75.97618610336608,-29.88545116133358,-0.357754388266334
-75.87063789348929,-29.850930909152247,-0.3577403157279819
-75.76508259622864,-29.816408338400855,-0.3577261934277732
-75.6595201967662,-29.78188344422885,-0.3577120211149725
-75.5539506802844,-29.747356221785807,-0.3576977985388446
-75.44837403196556,-29.712826666221265,-0.357683525448654
-75.34279023699199,-29.678294772684744,-0.3576692015936654
-75.23719928054612,-29.643760536325825,-0.3576548267231434
-75.13160114781003,-29.609223952293956,-0.3576404005863527
-75.02599582396616,-29.574685015738712,-0.3576259229325579
-74.92038329419681,-29.540143721809624,-0.35761139351102367
-74.81476354368432,-29.50560006565622,-0.3575968120710146
-74.7091365576111,-29.47105404242808,-0.3575821783617955
-74.60350232115924,-29.436505647274654,-0.35756749213263084
-74.49786081951116,-29.401954875345506,-0.3575527531327853
-74.39221203784919,-29.367401721790177,-0.35753796111152353
-74.28655596135206,-29.332846181757063,-0.3575231158189198
-74.18089257460646,-29.298288250200592,-0.3575082169884476
-74.07522186149544,-29.26372792184445,-0.3574932643275816
-73.96954380587188,-29.229165191402412,-0.35747825754246076
-73.86385839158854,-29.194600053588218,-0.35746319633922397
-73.75816560249818,-29.160032503115605,-0.35744808042401016
-73.65246542245369,-29.125462534698347,-0.35743290950295825
-73.54675783530757,-29.090890143050107,-0.35741768328220713
-73.44104282491271,-29.05631532288466,-0.3574024014678957
-73.33532037512188,-29.02173806891575,-0.3573870637661629
-73.22959046978784,-28.987158375857103,-0.35737166988314767
-73.12385309276345,-28.952576238422502,-0.3573562195249889
-73.01810822790124,-28.91799165132561,-0.35734071239782556
-72.9123558590541,-28.8834046092802,-0.35732514820779643
-72.80659597007478,-28.848815107000007,-0.35730952666104054
-72.70082854481603,-28.814223139198777,-0.3572938474636968
-72.59505356713076,-28.77962870059028,-0.35727811032190404
-72.48927102087147,-28.74503178588818,-0.3572623149418013
-72.38348088989103,-28.710432389806247,-0.35724646102952734
-72.27768315804222,-28.675830507058226,-0.3572305482912212
-72.1718778091778,-28.641226132357854,-0.35721457643302174
-72.06606482715064,-28.606619260418903,-0.3571985451610679
-71.96024419581326,-28.572009885955037,-0.3571824541814986
-71.85441589901853,-28.537398003680032,-0.3571663032004527
-71.74857992062701,-28.50278360831019,-0.35715009192473923
-71.64273624411396,-28.4681666944356,-0.3571338200517347
-71.53688485195619,-28.43354725631886,-0.35711748724066483
-71.43102572650392,-28.398925288181026,-0.35710109314510063
-71.32515885010777,-28.364300784243273,-0.3570846374186131
-71.21928420511823,-28.329673738726733,-0.3570681197147734
-71.1134017738858,-28.295044145852543,-0.3570515396871525
-71.00751153876105,-28.260411999841878,-0.3570348969893214
-70.90161348209428,-28.225777294915797,-0.3570181912748511
-70.79570758623605,-28.19114002529547,-0.3570014221973128
-70.68979383353687,-28.156500185202038,-0.35698458941027744
-70.58387220634724,-28.121857768856632,-0.35696769256731603
-70.47794268701773,-28.087212770480427,-0.3569507313219997
-70.37200525789864,-28.052565184294483,-0.3569337053278995
-70.26605990134053,-28.01791500451997,-0.35691661423858634
-70.1601065996939,-27.983262225378027,-0.3568994577076313
-70.05414533530926,-27.948606841089788,-0.35688223538860553
-69.94817609053719,-27.913948845876426,-0.35686494693508
-69.84219884772794,-27.879288233959002,-0.35684759200062566
-69.73621358923215,-27.84462499955869,-0.3568301702388137
-69.63022029740027,-27.80995913689662,-0.3568126813032151
-69.5242189545828,-27.77529064019393,-0.3567951248474009
-69.41820954313036,-27.740619503671798,-0.3567775005249421
-69.31219204539319,-27.70594572155128,-0.3567598079894098
-69.20616644371427,-27.67126928805105,-0.35674204689411465
-69.10013271929438,-27.636590197015273,-0.3567242168523309
-68.99409085264364,-27.601908442061543,-0.3567063174504117
-68.88804082465818,-27.567224016933977,-0.35668834828722534
-68.78198261623382,-27.532536915376596,-0.35667030896164026
-68.67591620826674,-27.49784713113353,-0.35665219907252477
-68.56984158165297,-27.463154657948866,-0.3566340182187472
-68.46375871728857,-27.428459489566702,-0.3566157659991759
-68.35766759606972,-27.393761619731162,-0.3565974420126793
-68.2515681988922,-27.359061042186262,-0.35657904585812567
-68.14546050665221,-27.324357750676132,-0.3565605771343834
-68.03934450024578,-27.289651738944865,-0.35654203544032087
-67.93322016056895,-27.25494300073655,-0.3565234203748064
-67.82708746851792,-27.22023152979532,-0.3565047315367083
-67.72094640498847,-27.185517319865184,-0.35648596852489506
-67.61479695087677,-27.150800364690276,-0.3564671309382349
-67.50863908707889,-27.116080658014685,-0.3564482183755962
-67.40247279449085,-27.081358193582506,-0.35642923043584734
-67.29629805399821,-27.0466329651344,-0.3564101667179257
-67.19011484591783,-27.011904966224538,-0.35639102680027407
-67.08392314983223,-26.97717419016606,-0.35637181022947223
-66.97772294527984,-26.94244063025762,-0.35635251654989203
-66.87151421179911,-26.90770427979788,-0.3563331453059054
-66.7652969289286,-26.872965132085533,-0.35631369604188423
-66.65907107620654,-26.838223180419153,-0.3562941683022004
-66.55283663317148,-26.803478418097445,-0.35627456163122584
-66.44659357936186,-26.768730838419064,-0.35625487557333246
-66.34034189431614,-26.733980434682664,-0.3562351096728921
-66.23408155757286,-26.699227200186943,-0.3562152634742768
-66.12781254867026,-26.66447112823048,-0.35619533652185836
-66.02153484714688,-26.629712212111976,-0.35617532836000865
-65.91524843254118,-26.594950445130078,-0.35615523853309966
-65.80895328439159,-26.560185820583452,-0.3561350665855032
-65.70264938223669,-26.52541833177079,-0.3561148120615913
-65.59633670561468,-26.490647971990672,-0.3560944745057358
-65.49001523406412,-26.455874734541794,-0.3560740534623085
-65.38368494699971,-26.421098612682286,-0.35605354847233606
-65.27734582287127,-26.38631959935361,-0.35603295903630966
-65.17099783972202,-26.351537687363674,-0.3560122846348019
-65.06464097559424,-26.31675286952007,-0.35599152474834744
-64.95827520853061,-26.281965138630504,-0.35597067885748107
-64.85190051657362,-26.24717448750265,-0.3559497464427374
-64.74551687776581,-26.21238090894418,-0.3559287269846513
-64.63912427014981,-26.1775843957628,-0.35590761996375736
-64.53272267176791,-26.142784940766106,-0.35588642486059036
-64.42631206066275,-26.107982536761803,-0.35586514115568496
-64.31989241487688,-26.073177176557564,-0.355843768329576
-64.21346371245279,-26.038368852961064,-0.35582230586279806
-64.10702593143314,-26.003557558780003,-0.35580075323588595
-64.00057904986022,-25.968743286821983,-0.3557791099293744
-63.89412304577665,-25.933926029894707,-0.35575737542379804
